build_id,apfd,n_tc
TTD33.16,0.9583333333333333,12
TTD33.20,0.9,25
TTD33.21,0.8552631578947368,57
TTDC33.16,0.5625000000000001,24
TTM33.1,0.676470588235294,17
TTM33.15,0.875,12
U1RD34.43,0.8333333333333334,3
U1SH34.15,0.8125,8
U1SJ34.2-54,1.0,1
U1SQ34.53-12,0.125,4
U1SQ34.53-14,0.08333333333333333,6
U1TC34.22-12,0.6111111111111112,9
U1TC34.42,0.875,4
U1TD34.100-7,1.0,1
U1TD34.74,0.5833333333333334,6
U1TDC34.9-2,0.8400000000000001,25
U1TDC34.9-34,0.5,21
U1TF34.44,0.33783783783783783,37
U1TF34.67,0.9285714285714286,7
U1TGN34.42-19,0.9590163934426229,61
U1TGN34.42-67,0.7857142857142857,7
U1TM34.81,0.9545454545454545,11
U1TM34.84,0.09999999999999996,25
U1TM34.85,0.5,2
U1TO34.1-33,0.875,4
U1TP34.29-18,0.9,5
U1TPN34.18,0.7500000000000001,6
U1TR34.8-30,0.9146341463414634,41
U1TR34.8-7,0.8374999999999999,40
U1TT34.126,1.0,1
U1UD34.11,0.7,5
U1UD34.16-7,1.0,1
U1UFN34.18,0.9,5
U1UFN34.36,0.5,2
U1UFN34.41-23,0.4772727272727273,22
U1UG34.23-23-5,0.8333333333333334,3
U1UG34.23-55,0.75,2
U1UG34.23-85,0.75,2
U2SL34.1-17,0.8333333333333334,3
U2SL34.1-4,0.9230769230769231,26
U2TB34.26,0.03125,16
U2TR34.23,0.5,4
U2UAN34.72-35,1.0,1
U2UB34.42,0.4166666666666667,6
U2UB34.43,0.8333333333333333,12
U2UB34.44-20,0.7,5
U2UB34.44-42,0.75,10
U2UB34.44-71,0.7857142857142857,7
U2UM34.12,0.875,4
U2UM34.27-8,1.0,1
U2UU34.1,0.5,2
U2UU34.17,1.0,1
U2UU34.2,0.5,5
U2UU34.40-14-1,0.5,3
U2UU34.40-5,1.0,1
U2UUI34.40-6,1.0,1
U3TB34.26,0.8125,8
U3TR34.8,0.4166666666666667,6
U3TV34.1-19,0.547872340425532,94
U3TV34.1-43,0.9,5
U3TV34.1-48,0.828125,32
U3TV34.1-51,0.6111111111111112,9
U3TZ34.2-18,0.7048929663608562,109
U3TZ34.2-20,0.875,52
U3TZ34.2-22,0.9473684210526315,19
U3TZ34.2-38,0.9516129032258065,31
U3TZ34.2-58,1.0,1
U3TZ34.4,0.25,22
U3TZ34.5,0.6785714285714286,28
U3TZ34.6,0.8195488721804511,133
U3TZ34.67,0.7222222222222223,9
U3UC34.32,0.7708333333333334,24
U3UC34.33,0.9444444444444444,9
U3UC34.56,0.75,22
U3UC34.63-23,0.9615384615384616,13
U3UC34.63-24,0.7053571428571429,28
U3UC34.63-26,0.6609756097560976,41
U3UC34.63-31,0.9736842105263158,19
U3UC34.8,0.18269230769230774,52
U3UC34.9,0.1484375,64
U3UFN34.1,0.375,4
U3UO34.49-15,0.7941176470588235,17
U3UO34.49-36,0.8333333333333334,9
U3UV34.26-2,0.8046875,64
U3UV34.26-25,0.7982456140350876,19
U3UV34.26-27,0.8452380952380952,14
U3UV34.26-3,0.8333333333333334,15
U3UV34.26-5,0.9642857142857143,14
U3UW34.19,0.9285714285714286,7
U3UW34.27,0.027777777777777776,18
U3UW34.44,0.38888888888888895,9
U3UW34.67-6,0.984375,32
U3UX34.1,0.017241379310344827,29
U3UX34.29,0.7500000000000001,6
U3UX34.3,0.3055555555555556,18
U3UX34.30,1.0,1
U3UX34.5,0.4006410256410257,52
U3UX34.54,0.9044117647058822,34
U3UX34.56,0.21428571428571433,7
U3UX34.56-1,0.944078947368421,76
U3UX34.56-17,0.8846153846153846,13
U3UX34.56-19,0.6923076923076923,13
U3UX34.56-2,0.8087719298245615,57
U3UX34.56-20,0.5,9
U3UX34.56-22,0.5,4
U3UX34.56-23,0.6384615384615384,13
U3UX34.56-3,0.8973684210526316,38
U3UX34.56-37,0.875,4
U3UX34.7,0.533816425120773,69
U3UX34.8,0.7692307692307693,13
U3UX34.9,1.0,1
USH34.104,0.38888888888888895,9
USH34.151,0.5416666666666666,24
USQ34.227,0.3928571428571428,14
USQ34.230,0.7,5
UST34.30,0.1666666666666667,21
UST34.88,0.11538461538461534,13
UST34.90,0.5909090909090908,11
UTB34.291,0.3602150537634409,31
UTB34.292,0.1818181818181818,22
UTB34.309,0.7592592592592592,27
UTO34.163,0.29999999999999993,5
UTO34.265,0.7416666666666667,20
UTO34.266,0.7678571428571429,28
UTP34.79,0.4411764705882353,17
UTP34.83,0.24468085106382978,47
UTP34.84,0.6578947368421052,19
UTPN34.116,0.9444444444444444,63
UTPN34.141,1.0,1
UTPN34.147,0.53125,16
UTPN34.176,0.16666666666666666,3
UTR34.116,1.0,1
UTR34.153,0.717391304347826,23
UTR34.173,1.0,1
UTR34.88,0.9736842105263158,19
UTR34.92,0.1041666666666667,24
UTR34.93,0.5075757575757576,66
UTR34.96,0.8461538461538461,52
