method_name,project,build_id,test_scenario,count_tc,count_commits,apfd,time
RETECS,Graylog2@graylog2-server,41303095,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,11517083,rtptorrent,45,0,0.16666666666666666,0.0
RETECS,Graylog2@graylog2-server,1346167,rtptorrent,31,0,0.24193548387096775,0.0
RETECS,Graylog2@graylog2-server,1106259,rtptorrent,23,0,0.1086956521739131,0.0
RETECS,Graylog2@graylog2-server,33537763,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,11967717,rtptorrent,46,0,0.0326086956521739,0.0
RETECS,Graylog2@graylog2-server,11517085,rtptorrent,45,0,0.2555555555555556,0.0
RETECS,Graylog2@graylog2-server,10308816,rtptorrent,39,0,0.32051282051282054,0.0
RETECS,Graylog2@graylog2-server,1236001,rtptorrent,29,0,0.18965517241379312,0.0
RETECS,Graylog2@graylog2-server,11516601,rtptorrent,45,0,0.1888888888888889,0.0
RETECS,Graylog2@graylog2-server,8582030,rtptorrent,27,0,0.38888888888888884,0.0
RETECS,Graylog2@graylog2-server,1264094,rtptorrent,29,0,0.9482758620689655,0.0
RETECS,Graylog2@graylog2-server,21173525,rtptorrent,2,0,0.25,0.0
RETECS,Graylog2@graylog2-server,11574010,rtptorrent,46,0,0.14130434782608697,0.0
RETECS,Graylog2@graylog2-server,11595183,rtptorrent,46,0,0.18478260869565216,0.0
RETECS,Graylog2@graylog2-server,90287828,rtptorrent,29,0,0.9827586206896552,0.0
RETECS,Graylog2@graylog2-server,10817314,rtptorrent,43,0,0.2674418604651163,0.0
RETECS,Graylog2@graylog2-server,11568375,rtptorrent,46,0,0.18478260869565216,0.0
RETECS,Graylog2@graylog2-server,41262602,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,11568093,rtptorrent,46,0,0.18478260869565216,0.0
RETECS,Graylog2@graylog2-server,10581250,rtptorrent,43,0,0.15697674418604654,0.0
RETECS,Graylog2@graylog2-server,10776003,rtptorrent,43,0,0.36046511627906974,0.0
RETECS,Graylog2@graylog2-server,9054378,rtptorrent,27,0,0.05555555555555561,0.0
RETECS,Graylog2@graylog2-server,25788022,rtptorrent,2,0,0.25,0.0
RETECS,Graylog2@graylog2-server,11574009,rtptorrent,46,0,0.24999999999999994,0.0
RETECS,Graylog2@graylog2-server,11197906,rtptorrent,44,0,0.2727272727272727,0.0
RETECS,Graylog2@graylog2-server,12226194,rtptorrent,48,0,0.09375000000000004,0.0
RETECS,Graylog2@graylog2-server,10872801,rtptorrent,43,0,0.2732558139534884,0.0
RETECS,Graylog2@graylog2-server,12224038,rtptorrent,48,0,0.15625000000000003,0.0
RETECS,Graylog2@graylog2-server,1238199,rtptorrent,29,0,0.1551724137931035,0.0
RETECS,Graylog2@graylog2-server,11199626,rtptorrent,44,0,0.125,0.0
RETECS,Graylog2@graylog2-server,11593876,rtptorrent,46,0,0.20652173913043476,0.0
RETECS,Graylog2@graylog2-server,46336701,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,25482056,rtptorrent,2,0,0.25,0.0
RETECS,Graylog2@graylog2-server,10579653,rtptorrent,43,0,0.313953488372093,0.0
RETECS,Graylog2@graylog2-server,10671028,rtptorrent,43,0,0.7732558139534884,0.0
RETECS,Graylog2@graylog2-server,1264154,rtptorrent,29,0,0.18965517241379312,0.0
RETECS,Graylog2@graylog2-server,10756373,rtptorrent,43,0,0.33720930232558144,0.0
RETECS,Graylog2@graylog2-server,12224236,rtptorrent,48,0,0.34375000000000006,0.0
RETECS,Graylog2@graylog2-server,32424438,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,10669742,rtptorrent,43,0,0.558139534883721,0.0
RETECS,Graylog2@graylog2-server,44339589,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,10346668,rtptorrent,40,0,0.16250000000000003,0.0
RETECS,SonarSource@sonarqube,79668682,rtptorrent,1159,0,0.6751509922346851,0.0
RETECS,SonarSource@sonarqube,73529838,rtptorrent,53,0,0.7075471698113208,0.0
RETECS,SonarSource@sonarqube,110976994,rtptorrent,12,0,0.041666666666666664,0.0
RETECS,SonarSource@sonarqube,67070906,rtptorrent,1035,0,0.6713065947646333,0.0
RETECS,SonarSource@sonarqube,100847038,rtptorrent,880,0,0.5823863636363636,0.0
RETECS,SonarSource@sonarqube,127493685,rtptorrent,1301,0,0.7513451191391238,0.0
RETECS,SonarSource@sonarqube,80673591,rtptorrent,4,0,0.5,0.0
RETECS,SonarSource@sonarqube,90733299,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,77346034,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,123057413,rtptorrent,15,0,0.34444444444444444,0.0
RETECS,SonarSource@sonarqube,55022601,rtptorrent,290,0,0.8189655172413792,0.0
RETECS,SonarSource@sonarqube,155986614,rtptorrent,609,0,0.015599343185550065,0.0
RETECS,SonarSource@sonarqube,82740524,rtptorrent,2,0,0.75,0.0
RETECS,SonarSource@sonarqube,86988516,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,116484194,rtptorrent,12,0,0.5,0.0
RETECS,SonarSource@sonarqube,135905813,rtptorrent,10,0,0.8,0.0
RETECS,SonarSource@sonarqube,115306151,rtptorrent,12,0,0.5,0.0
RETECS,SonarSource@sonarqube,118196173,rtptorrent,11,0,0.045454545454545456,0.0
RETECS,SonarSource@sonarqube,55023716,rtptorrent,290,0,0.9672413793103448,0.0
RETECS,SonarSource@sonarqube,106316518,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,74196603,rtptorrent,53,0,0.41509433962264153,0.0
RETECS,SonarSource@sonarqube,75320116,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,154991628,rtptorrent,1616,0,0.5826113861386139,0.0
RETECS,SonarSource@sonarqube,138135467,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,79231899,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,77650226,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,74032939,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,111301071,rtptorrent,507,0,0.6913214990138067,0.0
RETECS,SonarSource@sonarqube,104936980,rtptorrent,360,0,0.7680555555555555,0.0
RETECS,SonarSource@sonarqube,145550580,rtptorrent,1314,0,0.9973363774733638,0.0
RETECS,SonarSource@sonarqube,120904022,rtptorrent,1280,0,0.09648437499999998,0.0
RETECS,SonarSource@sonarqube,135907781,rtptorrent,8,0,0.71875,0.0
RETECS,SonarSource@sonarqube,54843553,rtptorrent,290,0,0.1224137931034483,0.0
RETECS,SonarSource@sonarqube,77705493,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,72466248,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,106417853,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,118513815,rtptorrent,11,0,0.5,0.0
RETECS,SonarSource@sonarqube,78040966,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,136135432,rtptorrent,1319,0,0.9996209249431388,0.0
RETECS,SonarSource@sonarqube,127246946,rtptorrent,1300,0,0.7203846153846154,0.0
RETECS,SonarSource@sonarqube,77141839,rtptorrent,3,0,0.5,0.0
RETECS,SonarSource@sonarqube,82538292,rtptorrent,5,0,0.7,0.0
RETECS,SonarSource@sonarqube,104581078,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,54871039,rtptorrent,290,0,0.8948275862068965,0.0
RETECS,SonarSource@sonarqube,79245444,rtptorrent,1324,0,0.3462990936555891,0.0
RETECS,SonarSource@sonarqube,136135769,rtptorrent,8,0,0.71875,0.0
RETECS,SonarSource@sonarqube,70213121,rtptorrent,2,0,0.5,0.0
RETECS,SonarSource@sonarqube,64874558,rtptorrent,426,0,0.9753521126760563,0.0
RETECS,SonarSource@sonarqube,78477082,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,136629196,rtptorrent,277,0,0.055956678700361,0.0
RETECS,SonarSource@sonarqube,119539748,rtptorrent,1275,0,0.8835294117647059,0.0
RETECS,SonarSource@sonarqube,136415450,rtptorrent,10,0,0.8500000000000001,0.0
RETECS,SonarSource@sonarqube,104936420,rtptorrent,360,0,0.6708333333333334,0.0
RETECS,SonarSource@sonarqube,70057070,rtptorrent,1063,0,0.6580432737535278,0.0
